Car ID,Year,Engine Size,Mileage,Price,Brand_BMW,Brand_Ford,Brand_Honda,Brand_Mercedes,Brand_Tesla,Brand_Toyota,Fuel Type_Electric,Fuel Type_Hybrid,Fuel Type_Petrol,Transmission_Manual,Model_5 Series,Model_A3,Model_A4,Model_Accord,Model_C-Class,Model_CR-V,Model_Camry,Model_Civic,Model_Corolla,Model_E-Class,Model_Explorer,Model_Fiesta,Model_Fit,Model_Focus,Model_GLA,Model_GLC,Model_Model 3,Model_Model S,Model_Model X,Model_Model Y,Model_Mustang,Model_Prius,Model_Q5,Model_Q7,Model_RAV4,Model_X3,Model_X5,Condition
1.0,0.6335136713611853,-0.8303389040835536,-0.40163219944557255,-0.950813668732438,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0
2.0,0.9200273920772997,0.6405685010807668,-0.07993327904163332,-1.3890527705162685,True,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2
3.0,0.2037430902870139,0.710611710850496,0.3558089182796062,-0.29759622025732646,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
4.0,-0.0827706304291004,0.4304388717715777,-0.9251671869849546,1.243644863066505,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,0
5.0,-0.36928435114521474,-0.6202092747743648,0.8255496932315181,0.7737185262677216,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,1
6.0,1.0632842524353567,-0.7602956943138239,1.092637618402205,1.3389514967925271,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,1
7.0,1.206541112793414,0.3603956620018484,-0.16732902214029852,0.4036320234482817,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,2
8.0,0.7767705317192425,1.270957389008332,-0.7624005564060802,-1.2898482088283987,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,0
9.0,1.6363116938675855,1.5511302280872503,-0.3389214429749831,-1.3440325287781205,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
10.0,-0.22602749078715756,-1.3906845822413896,-0.17274020716860372,-1.5770415922647503,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
11.0,-1.5153392340096719,-1.180554952932201,1.6861890294105595,0.2337554389857306,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,1
12.0,0.7767705317192425,1.5511302280872503,0.22122128898020796,-0.8971911791907825,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,2
13.0,-0.7990549322193862,0.8506981303899552,-0.40698666345680956,0.8173925782830116,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
14.0,1.6363116938675855,1.341000598778062,1.2893574497980973,0.6494783609451064,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,1
15.0,0.34699995064507105,-1.040468533392742,-0.9667323482925233,-0.6347712118654122,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0
16.0,-0.22602749078715756,0.2903524522321188,1.0285542133185654,-1.127726352834834,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,2
17.0,0.7767705317192425,0.710611710850496,-0.15222988739674667,-1.3872747425189755,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,0
18.0,1.4930548335095282,0.6405685010807668,0.48288668491917625,0.8276193605474907,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
19.0,-0.0827706304291004,-0.3400364356954468,-0.7175455761085565,-0.17313866695982535,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
20.0,-0.9423117925774434,-1.6708574213203076,1.5922590251456388,-0.6158665366575157,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0
21.0,1.0632842524353567,0.2903524522321188,0.48067456525351687,1.24392798152704,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2
22.0,1.4930548335095282,-0.8303389040835536,-1.5664776943647238,0.32631644790056785,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2
23.0,0.06048622992895674,-0.12990680638625834,1.421585484787459,0.06254845480525477,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
24.0,1.0632842524353567,1.6211734378569798,0.006997351717072744,0.8487731934347389,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0
25.0,0.4902568110031282,-0.3400364356954468,0.43394779139274303,1.1006560865382335,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0
26.0,0.7767705317192425,1.2009141792386029,-1.4964272382855106,0.648861816333901,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2
27.0,-0.36928435114521474,-1.1105117431624716,0.5617629312541995,-0.20953976926128173,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,2
28.0,1.4930548335095282,0.6405685010807668,0.6160449445884562,-0.4213171514642515,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
29.0,-0.655798071861329,1.6912166476267096,-1.503869035724857,0.9474478719338242,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,2
30.0,0.7767705317192425,-1.3906845822413896,0.6534240948363925,0.06221649749225333,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
31.0,1.206541112793414,-1.7409006310900372,-0.19649496911676118,0.712746340244071,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,2
32.0,-1.6585960943677291,-0.19995001615598762,0.5268795057572634,1.3616494452784158,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2
33.0,1.4930548335095282,-1.3906845822413896,-1.1278881019866611,1.4505776514305062,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2
34.0,-0.655798071861329,0.8506981303899552,1.45168165644384,-0.7756889272815947,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
35.0,-0.9423117925774434,1.4810870183175204,1.1642081977388457,-1.0890448800535784,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,1
36.0,-1.0855686529355004,-0.19995001615598762,0.24507814875908815,-0.8329989337891354,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,1
37.0,0.34699995064507105,-0.8303389040835536,-1.4162237201510919,0.8766554044703551,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
38.0,1.349797973151471,-0.19995001615598762,1.4986806911865411,-0.4535537317670917,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
39.0,0.34699995064507105,0.7806549206202252,0.9015331676960637,-1.1396305477163382,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,1
40.0,-1.5153392340096719,-1.7409006310900372,1.0997617781459696,-1.401280476894182,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0
41.0,-1.6585960943677291,0.2903524522321188,0.6112690349513147,-0.6026686629997904,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
42.0,1.4930548335095282,0.4304388717715777,0.8463095854784751,-1.2695866948245507,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,0
43.0,1.4930548335095282,0.5004820815413076,0.7900763691570728,-1.198989582770945,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,1
46.0,0.7767705317192425,-1.3906845822413896,-0.7066437966280507,-1.3344138453082548,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
